법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,법령구분명,시행일자,법령상세링크
245027,현행,2023 새만금 세계스카우트잼버리 지원 특별법,새만금세계잼버리법,013210,20221018,19012,법률,20230419,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245027&type=HTML&mobileYn=&efYd=20230419
212307,현행,2023 새만금 세계스카우트잼버리 지원 특별법 시행령,새만금세계잼버리법 시행령,013626,20191210,30241,대통령령,20191219,/DRF/lawService.do?OC=sapphire_5&target=law&MST=212307&type=HTML&mobileYn=&efYd=20191219
246643,현행,2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법,순천만정원박람회법,014137,20221227,19117,법률,20230628,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246643&type=HTML&mobileYn=&efYd=20230628
240347,현행,2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법 시행령,순천만정원박람회법 시행령,014243,20220215,32436,대통령령,20220218,/DRF/lawService.do?OC=sapphire_5&target=law&MST=240347&type=HTML&mobileYn=&efYd=20220218
243787,현행,2030 부산세계박람회 유치위원회의 설치 및 운영에 관한 규정,,014308,20220708,32783,대통령령,20220708,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243787&type=HTML&mobileYn=&efYd=20220708
231363,현행,30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법,상등병전역자특별진급법,014061,20210413,17991,법률,20211014,/DRF/lawService.do?OC=sapphire_5&target=law&MST=231363&type=HTML&mobileYn=&efYd=20211014
249609,현행,30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법 시행령,상등병전역자특별진급법 시행령,014165,20230411,33382,대통령령,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249609&type=HTML&mobileYn=&efYd=20230605
233957,현행,3ㆍ15의거 참여자의 명예회복 등에 관한 법률,3ㆍ15의거법,014119,20210720,18301,법률,20220121,/DRF/lawService.do?OC=sapphire_5&target=law&MST=233957&type=HTML&mobileYn=&efYd=20220121
239577,현행,3ㆍ15의거 참여자의 명예회복 등에 관한 법률 시행령,3ㆍ15의거법 시행령,014229,20220121,32350,대통령령,20220121,/DRF/lawService.do?OC=sapphire_5&target=law&MST=239577&type=HTML&mobileYn=&efYd=20220121
162682,현행,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,세월호진상규명법,012159,20141119,12843,법률,20150101,/DRF/lawService.do?OC=sapphire_5&target=law&MST=162682&type=HTML&mobileYn=&efYd=20150101
195782,현행,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,세월호진상규명법 시행령,012290,20170726,28211,대통령령,20170726,/DRF/lawService.do?OC=sapphire_5&target=law&MST=195782&type=HTML&mobileYn=&efYd=20170726
243107,현행,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,세월호피해지원법,012245,20220610,18954,법률,20220610,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243107&type=HTML&mobileYn=&efYd=20220610
247569,현행,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,세월호피해지원법 시행령,012272,20230110,33225,대통령령,20230112,/DRF/lawService.do?OC=sapphire_5&target=law&MST=247569&type=HTML&mobileYn=&efYd=20230112
228675,현행,4차산업혁명위원회의 설치 및 운영에 관한 규정,,012976,20210112,31385,대통령령,20210112,/DRF/lawService.do?OC=sapphire_5&target=law&MST=228675&type=HTML&mobileYn=&efYd=20210112
248531,현행,5ㆍ18민주유공자예우 및 단체설립에 관한 법률,5ㆍ18유공자법,009289,20230304,19228,법률,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248531&type=HTML&mobileYn=&efYd=20230605
252385,현행,5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행령,5ㆍ18유공자법 시행령,009339,20230711,33627,대통령령,20230718,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252385&type=HTML&mobileYn=&efYd=20230718
252815,현행,5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행규칙,5ㆍ18유공자법 시행규칙,009381,20230717,00012,국가보훈부령,20230718,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252815&type=HTML&mobileYn=&efYd=20230718
246621,현행,5ㆍ18민주화운동 관련자 보상 등에 관한 법률,5ㆍ18보상법,001234,20221227,19106,법률,20221227,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246621&type=HTML&mobileYn=&efYd=20221227
252211,현행,5ㆍ18민주화운동 관련자 보상 등에 관한 법률 시행령,5ㆍ18보상법 시행령,002543,20230629,33606,대통령령,20230629,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252211&type=HTML&mobileYn=&efYd=20230629
235549,현행,5ㆍ18민주화운동 등에 관한 특별법,5ㆍ18민주화운동법,001159,20210924,18465,법률,20220701,/DRF/lawService.do?OC=sapphire_5&target=law&MST=235549&type=HTML&mobileYn=&efYd=20220701
228259,현행,5ㆍ18민주화운동 진상규명을 위한 특별법,5ㆍ18진상규명법,013091,20210105,17886,법률,20210206,/DRF/lawService.do?OC=sapphire_5&target=law&MST=228259&type=HTML&mobileYn=&efYd=20210206
249767,현행,5ㆍ18민주화운동 진상규명을 위한 특별법 시행령,,013166,20230411,33382,대통령령,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249767&type=HTML&mobileYn=&efYd=20230605
245979,현행,6ㆍ25 전사자유해의 발굴 등에 관한 법률,6ㆍ25전사자발굴법,010716,20221213,19071,법률,20221213,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245979&type=HTML&mobileYn=&efYd=20221213
236057,현행,6ㆍ25 전사자유해의 발굴 등에 관한 법률 시행령,6ㆍ25전사자발굴법 시행령,010791,20211014,32041,대통령령,20211014,/DRF/lawService.do?OC=sapphire_5&target=law&MST=236057&type=HTML&mobileYn=&efYd=20211014
204768,현행,6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률,6ㆍ25납북자법,011176,20181016,15790,법률,20181016,/DRF/lawService.do?OC=sapphire_5&target=law&MST=204768&type=HTML&mobileYn=&efYd=20181016
195536,현행,6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률 시행령,6ㆍ25납북자법 시행령,011285,20170726,28211,대통령령,20170726,/DRF/lawService.do?OC=sapphire_5&target=law&MST=195536&type=HTML&mobileYn=&efYd=20170726
108667,현행,6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률에 의한 가족관계등록사무처리규칙,,011302,20101104,02307,대법원규칙,20101104,/DRF/lawService.do?OC=sapphire_5&target=law&MST=108667&type=HTML&mobileYn=&efYd=20101104
238801,현행,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률,6ㆍ25무공훈장법,013468,20220104,18679,법률,20220104,/DRF/lawService.do?OC=sapphire_5&target=law&MST=238801&type=HTML&mobileYn=&efYd=20220104
210003,현행,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률 시행령,6ㆍ25무공훈장법 시행령,013528,20190723,29993,대통령령,20190724,/DRF/lawService.do?OC=sapphire_5&target=law&MST=210003&type=HTML&mobileYn=&efYd=20190724
231367,현행,6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률,6ㆍ25비정규군보상법,014062,20210413,17993,법률,20211014,/DRF/lawService.do?OC=sapphire_5&target=law&MST=231367&type=HTML&mobileYn=&efYd=20211014
249611,현행,6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률 시행령,6ㆍ25비정규군보상법 시행령,014166,20230411,33382,대통령령,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249611&type=HTML&mobileYn=&efYd=20230605
251487,현행,6ㆍ25전쟁 정전60주년 기념 호국영웅기장 수여규칙,,011890,20230605,00001,국가보훈부령,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=251487&type=HTML&mobileYn=&efYd=20230605
246645,현행,가덕도신공항 건설을 위한 특별법,가덕도신공항법,014035,20221227,19117,법률,20230628,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246645&type=HTML&mobileYn=&efYd=20230628
235431,현행,가덕도신공항 건설을 위한 특별법 시행령,가덕도신공항법 시행령,014145,20210914,31987,대통령령,20210917,/DRF/lawService.do?OC=sapphire_5&target=law&MST=235431&type=HTML&mobileYn=&efYd=20210917
235695,현행,가덕도신공항 건설을 위한 특별법 시행규칙,가덕도신공항법 시행규칙,014155,20210917,00886,국토교통부령,20210917,/DRF/lawService.do?OC=sapphire_5&target=law&MST=235695&type=HTML&mobileYn=&efYd=20210917
188538,현행,가등기담보 등에 관한 법률,가등기담보법,001257,20161227,14474,법률,20170328,/DRF/lawService.do?OC=sapphire_5&target=law&MST=188538&type=HTML&mobileYn=&efYd=20170328
251979,현행,가맹사업거래의 공정화에 관한 법률,가맹사업법,009367,20230620,19507,법률,20230620,/DRF/lawService.do?OC=sapphire_5&target=law&MST=251979&type=HTML&mobileYn=&efYd=20230620
246941,현행,가맹사업거래의 공정화에 관한 법률 시행령,가맹사업법 시행령,009369,20221227,33140,대통령령,20221227,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246941&type=HTML&mobileYn=&efYd=20221227
232893,현행,가맹사업 진흥에 관한 법률,가맹사업진흥법,010593,20210615,18267,법률,20211216,/DRF/lawService.do?OC=sapphire_5&target=law&MST=232893&type=HTML&mobileYn=&efYd=20211216
244033,현행,가맹사업 진흥에 관한 법률 시행령,가맹사업진흥법 시행령,010786,20220802,32838,대통령령,20220802,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244033&type=HTML&mobileYn=&efYd=20220802
232959,현행,가사근로자의 고용개선 등에 관한 법률,가사근로자법,014099,20210615,18285,법률,20220616,/DRF/lawService.do?OC=sapphire_5&target=law&MST=232959&type=HTML&mobileYn=&efYd=20220616
242699,현행,가사근로자의 고용개선 등에 관한 법률 시행령,가사근로자법 시행령,014286,20220531,32659,대통령령,20220616,/DRF/lawService.do?OC=sapphire_5&target=law&MST=242699&type=HTML&mobileYn=&efYd=20220616
243269,현행,가사근로자의 고용개선 등에 관한 법률 시행규칙,가사근로자법 시행규칙,014297,20220609,00354,고용노동부령,20220616,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243269&type=HTML&mobileYn=&efYd=20220616
210085,현행,가사소송규칙,,005694,20190802,02856,대법원규칙,20190802,/DRF/lawService.do?OC=sapphire_5&target=law&MST=210085&type=HTML&mobileYn=&efYd=20190802
228887,현행,가사소송법,,001206,20210126,17905,법률,20210126,/DRF/lawService.do?OC=sapphire_5&target=law&MST=228887&type=HTML&mobileYn=&efYd=20210126
181255,현행,가사소송수수료규칙,,005695,20160219,02639,대법원규칙,20160701,/DRF/lawService.do?OC=sapphire_5&target=law&MST=181255&type=HTML&mobileYn=&efYd=20160701
243607,현행,가석방자관리규정,,002049,20220630,32737,대통령령,20220701,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243607&type=HTML&mobileYn=&efYd=20220701
215909,현행,가습기살균제 피해구제를 위한 특별법,가습기살균제피해구제법,012804,20200324,17102,법률,20200925,/DRF/lawService.do?OC=sapphire_5&target=law&MST=215909&type=HTML&mobileYn=&efYd=20200925
244087,현행,가습기살균제 피해구제를 위한 특별법 시행령,,012969,20220802,32843,대통령령,20220802,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244087&type=HTML&mobileYn=&efYd=20220802
221925,현행,가습기살균제 피해구제를 위한 특별법 시행규칙,,012971,20200925,00882,환경부령,20200925,/DRF/lawService.do?OC=sapphire_5&target=law&MST=221925&type=HTML&mobileYn=&efYd=20200925
241059,현행,가정보호심판규칙,,005698,20220225,03038,대법원규칙,20220225,/DRF/lawService.do?OC=sapphire_5&target=law&MST=241059&type=HTML&mobileYn=&efYd=20220225
249831,현행,가정폭력방지 및 피해자보호 등에 관한 법률,가정폭력방지법,000182,20230411,19339,법률,20230411,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249831&type=HTML&mobileYn=&efYd=20230411
244277,현행,가정폭력방지 및 피해자보호 등에 관한 법률 시행령,가정폭력방지법 시행령,002053,20220816,32875,대통령령,20220816,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244277&type=HTML&mobileYn=&efYd=20220816
248117,현행,가정폭력방지 및 피해자보호 등에 관한 법률 시행규칙,가정폭력방지법 시행규칙,006120,20230217,00185,여성가족부령,20230217,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248117&type=HTML&mobileYn=&efYd=20230217
245971,현행,가정폭력범죄의 처벌 등에 관한 특례법,가정폭력처벌법,001132,20221213,19068,법률,20230614,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245971&type=HTML&mobileYn=&efYd=20230614
172201,현행,가정폭력범죄의 처벌 등에 관한 특례법 시행령,가정폭력처벌법 시행령,012308,20150622,26325,대통령령,20160101,/DRF/lawService.do?OC=sapphire_5&target=law&MST=172201&type=HTML&mobileYn=&efYd=20160101
248347,현행,가족관계의 등록 등에 관한 규칙,,010569,20230224,03095,대법원규칙,20230302,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248347&type=HTML&mobileYn=&efYd=20230302
238211,현행,가족관계의 등록 등에 관한 법률,가족관계등록법,010444,20211228,18651,법률,20220101,/DRF/lawService.do?OC=sapphire_5&target=law&MST=238211&type=HTML&mobileYn=&efYd=20220101
219135,현행,가족친화 사회환경의 조성 촉진에 관한 법률,가족친화법,010583,20200609,17438,법률,20201210,/DRF/lawService.do?OC=sapphire_5&target=law&MST=219135&type=HTML&mobileYn=&efYd=20201210
252387,현행,가족친화 사회환경의 조성 촉진에 관한 법률 시행령,가족친화법 시행령,010770,20230711,33630,대통령령,20230711,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252387&type=HTML&mobileYn=&efYd=20230711
176054,현행,가족친화 사회환경의 조성 촉진에 관한 법률 시행규칙,가족친화법 시행규칙,010774,20151104,00080,여성가족부령,20151104,/DRF/lawService.do?OC=sapphire_5&target=law&MST=176054&type=HTML&mobileYn=&efYd=20151104
241933,현행,가축 및 축산물 이력관리에 관한 법률,축산물이력법,010599,20220426,18853,법률,20230427,/DRF/lawService.do?OC=sapphire_5&target=law&MST=241933&type=HTML&mobileYn=&efYd=20230427
212349,현행,가축 및 축산물 이력관리에 관한 법률 시행령,축산물이력법 시행령,010875,20191217,30247,대통령령,20200101,/DRF/lawService.do?OC=sapphire_5&target=law&MST=212349&type=HTML&mobileYn=&efYd=20200101
250601,현행,가축 및 축산물 이력관리에 관한 법률 시행규칙,축산물이력법 시행규칙,010884,20230427,00584,농림축산식품부령,20230427,/DRF/lawService.do?OC=sapphire_5&target=law&MST=250601&type=HTML&mobileYn=&efYd=20230427
231457,현행,가축분뇨의 관리 및 이용에 관한 법률,가축분뇨법,010297,20210413,18027,법률,20220414,/DRF/lawService.do?OC=sapphire_5&target=law&MST=231457&type=HTML&mobileYn=&efYd=20220414
247129,현행,가축분뇨의 관리 및 이용에 관한 법률 시행령,가축분뇨법 시행령,010527,20221230,33192,대통령령,20221230,/DRF/lawService.do?OC=sapphire_5&target=law&MST=247129&type=HTML&mobileYn=&efYd=20221230
245203,현행,가축분뇨의 관리 및 이용에 관한 법률 시행규칙,가축분뇨법 시행규칙,010532,20221101,01002,환경부령,20230502,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245203&type=HTML&mobileYn=&efYd=20230502
245045,현행,가축분뇨의 자원화 및 이용 촉진에 관한 규칙,,010566,20221020,00549,농림축산식품부령,20221020,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245045&type=HTML&mobileYn=&efYd=20221020
236951,현행,가축전염병 예방법,,001504,20211130,18524,법률,20211130,/DRF/lawService.do?OC=sapphire_5&target=law&MST=236951&type=HTML&mobileYn=&efYd=20211130
252023,현행,가축전염병 예방법 시행령,,002058,20230627,33581,대통령령,20230627,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252023&type=HTML&mobileYn=&efYd=20230627
250127,현행,가축전염병 예방법 시행규칙,,006128,20230418,00581,농림축산식품부령,20230719,/DRF/lawService.do?OC=sapphire_5&target=law&MST=250127&type=HTML&mobileYn=&efYd=20230719
248293,현행,각급 법원에 배치할 판사의 수에 관한 규칙,,005699,20230224,03096,대법원규칙,20230224,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248293&type=HTML&mobileYn=&efYd=20230224
246873,현행,각급 법원의 설치와 관할구역에 관한 법률,법원설치법,001709,20221227,19149,법률,20230301,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246873&type=HTML&mobileYn=&efYd=20230301
166366,현행,각급 법원 판사 정원법,판사정원법,001300,20141231,12951,법률,20141231,/DRF/lawService.do?OC=sapphire_5&target=law&MST=166366&type=HTML&mobileYn=&efYd=20141231
214023,현행,각병과사병의군사경찰직무보조에관한규정,,002061,20200204,30384,대통령령,20200204,/DRF/lawService.do?OC=sapphire_5&target=law&MST=214023&type=HTML&mobileYn=&efYd=20200204
252377,현행,각종 기념일 등에 관한 규정,기념일규정,002065,20230707,33620,대통령령,20230710,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252377&type=HTML&mobileYn=&efYd=20230710
52364,현행,각종분쟁조정위원회등의조정조서등에대한집행문부여에관한규칙,,005701,20020628,01768,대법원규칙,20020701,/DRF/lawService.do?OC=sapphire_5&target=law&MST=52364&type=HTML&mobileYn=&efYd=20020701
246647,현행,간선급행버스체계의 건설 및 운영에 관한 특별법,간선급행버스법,012071,20221227,19117,법률,20230628,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246647&type=HTML&mobileYn=&efYd=20230628
245751,현행,간선급행버스체계의 건설 및 운영에 관한 특별법 시행령,간선급행버스법 시행령,012179,20221206,33035,대통령령,20221211,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245751&type=HTML&mobileYn=&efYd=20221211
246055,현행,간선급행버스체계의 건설 및 운영에 관한 특별법 시행규칙,간선급행버스법 시행규칙,012188,20221209,01163,국토교통부령,20221211,/DRF/lawService.do?OC=sapphire_5&target=law&MST=246055&type=HTML&mobileYn=&efYd=20221211
252833,현행,간척지의 농어업적 이용 및 관리에 관한 법률,간척지법,011522,20230725,19571,법률,20230725,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252833&type=HTML&mobileYn=&efYd=20230725
243641,현행,간척지의 농어업적 이용 및 관리에 관한 법률 시행령,간척지법 시행령,011742,20220704,32754,대통령령,20220705,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243641&type=HTML&mobileYn=&efYd=20220705
243729,현행,간척지의 농어업적 이용 및 관리에 관한 법률 시행규칙,간척지법 시행규칙,011745,20220705,00538,농림축산식품부령,20220705,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243729&type=HTML&mobileYn=&efYd=20220705
241727,현행,간호조무사 및 의료유사업자에 관한 규칙,간호조무사등규칙,006137,20220408,00879,보건복지부령,20220408,/DRF/lawService.do?OC=sapphire_5&target=law&MST=241727&type=HTML&mobileYn=&efYd=20220408
209959,현행,감사교육원 운영 등에 관한 규칙,,008770,20190715,00311,감사원규칙,20190715,/DRF/lawService.do?OC=sapphire_5&target=law&MST=209959&type=HTML&mobileYn=&efYd=20190715
191254,현행,감사교육원직제,,008771,20170116,00296,감사원규칙,20170116,/DRF/lawService.do?OC=sapphire_5&target=law&MST=191254&type=HTML&mobileYn=&efYd=20170116
209960,현행,감사연구원 운영규칙,,010116,20190715,00312,감사원규칙,20190715,/DRF/lawService.do?OC=sapphire_5&target=law&MST=209960&type=HTML&mobileYn=&efYd=20190715
244411,현행,감사연구원 직제,,010032,20220829,00360,감사원규칙,20220829,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244411&type=HTML&mobileYn=&efYd=20220829
248189,현행,감사원 감사사무 처리규칙,,014263,20230224,00367,감사원규칙,20230224,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248189&type=HTML&mobileYn=&efYd=20230224
222733,현행,감사원 개방형 직위 및 공모 직위의 운영 등에 관한 규칙,,010476,20201102,00338,감사원규칙,20201102,/DRF/lawService.do?OC=sapphire_5&target=law&MST=222733&type=HTML&mobileYn=&efYd=20201102
184473,현행,감사원규칙의 공포에 관한 규칙,,008773,20160630,00287,감사원규칙,20160630,/DRF/lawService.do?OC=sapphire_5&target=law&MST=184473&type=HTML&mobileYn=&efYd=20160630
243979,현행,감사원 모범공직자 및 모범부서ㆍ기관 선발에 관한 규칙,,014313,20220719,00357,감사원규칙,20220719,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243979&type=HTML&mobileYn=&efYd=20220719
222549,현행,감사원법,,001372,20201020,17560,법률,20201020,/DRF/lawService.do?OC=sapphire_5&target=law&MST=222549&type=HTML&mobileYn=&efYd=20201020
199620,현행,감사원 변상판정청구에 관한 규칙,,009168,20171208,00300,감사원규칙,20171208,/DRF/lawService.do?OC=sapphire_5&target=law&MST=199620&type=HTML&mobileYn=&efYd=20171208
251125,현행,감사원사무처 직제,,008775,20230512,00369,감사원규칙,20230512,/DRF/lawService.do?OC=sapphire_5&target=law&MST=251125&type=HTML&mobileYn=&efYd=20230512
173065,현행,감사원 소관 비영리법인의 설립 및 감독에 관한 규칙,,009830,20150717,00273,감사원규칙,20150717,/DRF/lawService.do?OC=sapphire_5&target=law&MST=173065&type=HTML&mobileYn=&efYd=20150717
241711,현행,감사원심사규칙,,008776,20220404,00347,감사원규칙,20220404,/DRF/lawService.do?OC=sapphire_5&target=law&MST=241711&type=HTML&mobileYn=&efYd=20220404
244357,현행,감사원 운영규칙,,008774,20220829,00361,감사원규칙,20220829,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244357&type=HTML&mobileYn=&efYd=20220829
209963,현행,감사원 전문인력 및 전문직위의 운영 등에 관한 규칙,,013525,20190715,00315,감사원규칙,20190715,/DRF/lawService.do?OC=sapphire_5&target=law&MST=209963&type=HTML&mobileYn=&efYd=20190715
244413,현행,감사원 정책자문위원회 규칙,,009704,20220829,00364,감사원규칙,20220829,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244413&type=HTML&mobileYn=&efYd=20220829
184477,현행,감사원 징계 규칙,,008779,20160630,00291,감사원규칙,20160630,/DRF/lawService.do?OC=sapphire_5&target=law&MST=184477&type=HTML&mobileYn=&efYd=20160630
244417,현행,감사원행정심판위원회규칙,,011122,20220829,00362,감사원규칙,20220829,/DRF/lawService.do?OC=sapphire_5&target=law&MST=244417&type=HTML&mobileYn=&efYd=20220829
248349,현행,감사위원회의 운영 등에 관한 규칙,,012606,20230224,00368,감사원규칙,20230224,/DRF/lawService.do?OC=sapphire_5&target=law&MST=248349&type=HTML&mobileYn=&efYd=20230224
106437,현행,감사활동조정협의회의 구성ㆍ운영 등에 관한 규칙,,011226,20100706,00210,감사원규칙,20100706,/DRF/lawService.do?OC=sapphire_5&target=law&MST=106437&type=HTML&mobileYn=&efYd=20100706
251249,현행,감염병의 예방 및 관리에 관한 법률,감염병예방법,001792,20230519,19419,법률,20230820,/DRF/lawService.do?OC=sapphire_5&target=law&MST=251249&type=HTML&mobileYn=&efYd=20230820
254013,현행,감염병의 예방 및 관리에 관한 법률 시행령,감염병예방법 시행령,004750,20230818,33672,대통령령,20230820,/DRF/lawService.do?OC=sapphire_5&target=law&MST=254013&type=HTML&mobileYn=&efYd=20230820
252795,현행,감염병의 예방 및 관리에 관한 법률 시행규칙,감염병예방법 시행규칙,008083,20230713,00949,보건복지부령,20230713,/DRF/lawService.do?OC=sapphire_5&target=law&MST=252795&type=HTML&mobileYn=&efYd=20230713
250715,현행,감정평가 및 감정평가사에 관한 법률,감정평가법,012481,20230509,19403,법률,20230810,/DRF/lawService.do?OC=sapphire_5&target=law&MST=250715&type=HTML&mobileYn=&efYd=20230810
239579,현행,감정평가 및 감정평가사에 관한 법률 시행령,감정평가법 시행령,012651,20220121,32352,대통령령,20220121,/DRF/lawService.do?OC=sapphire_5&target=law&MST=239579&type=HTML&mobileYn=&efYd=20220121
241617,현행,감정평가 및 감정평가사에 관한 법률 시행규칙,감정평가법 시행규칙,012655,20220330,01118,국토교통부령,20220330,/DRF/lawService.do?OC=sapphire_5&target=law&MST=241617&type=HTML&mobileYn=&efYd=20220330
239765,현행,감정평가에 관한 규칙,,006140,20220121,01100,국토교통부령,20220121,/DRF/lawService.do?OC=sapphire_5&target=law&MST=239765&type=HTML&mobileYn=&efYd=20220121
